,idk,number,adress,zipcode,city,idk3,lat,long
22127,770030160K-22,22,Rue du Vieux Puits,77760,Amponville,C+O,48.296254,2.524946
22128,77003B049W-5319,5319,Les Ouches du Midi,77760,Amponville,CAD,48.295833,2.531036
22133,770880121Y-20,20,Rue du 22 Aout 1944,77760,La Chapelle-la-Reine,CAD,48.310851,2.548341
22134,770880121Y-10,10,Rue du 22 Aout 1944,77760,La Chapelle-la-Reine,CAD,48.31167,2.550618
22138,770880260Z-68,68,Rue du Général de Gaulle,77760,La Chapelle-la-Reine,C+O,48.309886,2.573292
22142,77244B116W-5338,5338,Rocher de la Dame Jouanne,77760,Larchant,C+O,48.302341,2.5996740000000003
22144,77244B116W-5220,5220,Rocher de la Dame Jouanne,77760,Larchant,C+O,48.301846000000005,2.606376
22149,775200287A-5335,5335,Chemin des Morts,77760,Villiers-sous-Grez,CAD,48.309846,2.628793
22153,77520B093W-5266B,5266B,Le Rocher de Saint Etienne,77760,Villiers-sous-Grez,CAD,48.313561,2.648406
22157,772160200C-51,51,Rue de Grez,77880,Grez-sur-Loing,C+O,48.309545,2.669855
22163,77302A003J-23,23,Residence du Chateau,77140,Montcourt-Fromonville,CAD,48.297738,2.695233
22165,773020005S-35,35,Avenue des Acacias,77140,Montcourt-Fromonville,C+O,48.297804,2.699518
22166,773020030U-22,22,Avenue des Châtaigniers,77140,Montcourt-Fromonville,C+O,48.298056,2.703964
22169,77302B051Y-5285,5285,Pleignes,77140,Montcourt-Fromonville,CAD,48.305113,2.724668
22171,77302B051Y-5258,5258,Pleignes,77140,Montcourt-Fromonville,CAD,48.304539,2.7269639999999997
22180,773400100E-135,135,Route de Fontainebleau,77140,Nonville,C+O,48.298472,2.7674950000000003
22181,773400160V-2,2,Rue de la Source,77140,Nonville,C+O,48.297688,2.773357
22182,773400080H-25,25,Rue de Cugny,77140,Nonville,C+O,48.298813,2.778559
22183,773400080H-4,4,Rue de Cugny,77140,Nonville,C+O,48.297459,2.7815849999999998
22184,773400177N-16,16,Rue de la Vallée,77140,Nonville,C+O,48.296834999999994,2.7840990000000003
22187,775060100H-7,7,Route des Cailloux,77250,Villemer,C+O,48.305708,2.801209
22188,775060100H-1,1,Route des Cailloux,77250,Villemer,C+O,48.306333,2.80328
22192,775060260G-41,41,Avenue du Général de Gaulle,77250,Villemer,C+O,48.298903,2.822809
22193,775060176R-5,5,Chemin de Flagy,77250,Villemer,C+O,48.297613,2.8283009999999997
22194,775060380M-31,31,Rue de la Mairie,77250,Villemer,C+O,48.298911,2.8296959999999998
22195,775060410V-5233,5233,Route de Montmery,77250,Villemer,CAD,48.297187,2.83546
22203,77161B019B-13,13,Bois Huard,77130,Dormelles,CAD,48.296859000000005,2.878018
22208,771610060P-20,20,Ham des Bois de Dormelles,77130,Dormelles,CAD,48.301685,2.891973
22209,77184B019B-5182,5182,Fleur Jardin,77940,Flagy,CAD,48.301518,2.909129
